[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3890735758.18508,04/15/2023,3:55 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Eu5In2Sb6_TBe339_16p06mg_MPMS_MvT_aAxis_041523,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,16.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3890735993.06327,2.63833057880402,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.60134434700012,2.66859698295593,1000.27911376953,1000.27911376953,,,3.30424857139587,,1,0,0,0,0.0014495849609375,35.190616607666,6,1,1,2.67531681060791,0,4232058208,2.63125414848328,,,0.0137486979345408,0.00065409025725225,0.0137489466401289,0.000654100607837022,0.979980707168579,0.980094134807587,3.8849823474884,0,30,1,200,-0.00283100013621151,-0.622698068618774,0.16497628390789,1,,,,,,,,,,,,,,,,
,3890735998.11138,2.71136736869812,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.67643046379089,2.74233365058899,1000.27911376953,1000.27911376953,,,3.33829665184021,,1,0,0,0,0.00152587890625,34.7018585205078,6,1,1,2.74630427360535,0,4232058176,2.70456919670105,,,0.0139215464492943,0.000662307206308396,0.0139217777368381,0.000662316883431083,0.980439364910126,0.980541944503784,3.88544511795044,1.53855239659606E-6,30,1,200,-0.00300580565817654,-0.629481911659241,0.166441068053246,1,,,,,,,,,,,,,,,,
,3890736003.17138,2.77550721168518,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.74952387809753,2.79334545135498,1000.27911376953,1000.27911376953,,,3.3776912689209,,1,0,0,0,0.0014495849609375,35.6793746948242,6,1,1,2.80115342140198,0,4232058432,2.77345609664917,,,0.0140915380786346,0.000670392839661795,0.0140917632576596,0.000670402259685372,0.980561673641205,0.98066109418869,3.885582447052,0,30,1,200,-0.00268363812938333,-0.63631945848465,0.167778447270393,1,,,,,,,,,,,,,,,,
,3890736008.26509,2.84452879428864,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.81048941612244,2.86351585388184,1000.27911376953,1000.27911376953,,,3.4181969165802,,1,0,0,0,0.0225067138671875,35.190616607666,6,1,1,2.87856817245483,0,4232058272,2.83397941589355,,,0.0142478045064569,0.000677830401926336,0.0142480535601782,0.000677840761372638,0.980303108692169,0.980414927005768,3.885098695755,0.174378141760826,30,1,200,-0.00302601745352149,-0.642177104949951,0.169034168124199,1,,,,,,,,,,,,,,,,
,3890736013.4055,2.91417300701141,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.87910509109497,2.93922328948975,1000.27911376953,1000.27911376953,,,3.45910453796387,,1,0,0,0,0.0170135498046875,34.7018585205078,6,1,1,2.94924092292786,0,4232058272,2.90525665283203,,,0.014423098330591,0.000686169581858725,0.0144233383872093,0.00068617963433268,0.980318248271942,0.980419754981995,3.88546133041382,1.09758964583762E-7,30,1,200,-0.00308587122708559,-0.648886978626251,0.170532926917076,1,,,,,,,,,,,,,,,,
,3890736018.4899,2.9855465888977,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,2.95003223419189,3.0159125328064,1000.27911376953,1000.27911376953,,,3.49626469612122,,1,0,0,0,0.0146484375,35.190616607666,6,1,1,3.02106094360352,0,4232058208,2.97813601493835,,,0.0146064269360715,0.000694891570116054,0.0146066621261025,0.000694901434837124,0.980306386947632,0.980403363704681,3.88562488555908,1.13139073221191E-7,30,1,200,-0.00313970982097089,-0.666714072227478,0.172235980629921,1,,,,,,,,,,,,,,,,
,3890736023.60807,3.05574905872345,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,3.02171158790588,3.08558630943298,1000.27911376953,1000.27911376953,,,3.52787852287292,,1,0,0,0,0.02197265625,34.7018585205078,6,1,1,3.08978652954102,0,4232058336,3.04937567710876,,,0.0147916383490742,0.000703700912392972,0.0147918704172415,0.000703710655458039,0.980445861816406,0.98054039478302,3.88574147224426,1.29973662598027E-26,30,1,200,-0.00314597366377711,-0.673699915409088,0.173959150910378,1,,,,,,,,,,,,,,,,
,3890736028.76077,3.12718832492828,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,3.09240674972534,3.15201210975647,1000.27911376953,1000.27911376953,,,3.56739187240601,,1,0,0,0,0.0217437744140625,34.7018585205078,6,1,1,3.16196990013123,0,4232058272,3.11914930343628,,,0.0149812734876303,0.000712725557085058,0.0149815089035337,0.000712735478868146,0.980231046676636,0.980321884155273,3.88583898544312,0,30,1,200,-0.00337482267059386,-0.68081271648407,0.175781562924385,1,,,,,,,,,,,,,,,,
,3890736033.89324,3.19772362709045,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,3.16361284255981,3.22613215446472,1000.27911376953,1000.27911376953,,,3.60291910171509,,1,0,0,0,0.0014495849609375,35.190616607666,6,1,1,3.23183441162109,0,4232058272,3.19010391235352,,,0.0151769506231521,0.000722037738007126,0.0151771847796032,0.000722047636525146,0.980063021183014,0.980149388313293,3.88598370552063,5.73544406890869,30,1,200,-0.00327522889710963,-0.688065826892853,0.177628189325333,1,,,,,,,,,,,,,,,,
,3890736039.01338,3.27038252353668,1000.27911376953,,,6,,,,3.89276242256165,,,100,,,,,,,,,,,,,,,,,,,,,,3.23438549041748,3.29679536819458,1000.27911376953,1000.27911376953,,,3.63777804374695,,1,0,0,0,0.0014495849609375,35.190616607666,6,1,1,3.30637955665588,0,4232058272,3.26159934997559,,,0.0153856379054787,0.000731961841654747,0.0153858684924638,0.000731971593096462,0.980327069759369,0.980411827564239,3.88609075546265,,30,1,200,-0.00358001422137022,-0.69562441110611,0.179740205407143,1,,,,,,,,,,,,,,,,
