[Header]
TITLE,hc_sample_12232020_1p8_300K.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,1,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
31061493.27,,5905,3.85501,3.873,-0.005,9.3E-6,3.8769493,0.033228728,73.477891,0.1398,1.8981576,0.007003,75.376048,0.1398,0.42383118,9.3084219,0.0050285717,97.75378,0,0,1,,,,8.2745E-6,19.4888,15.030736,18.952502,0
31061576.56,,5905,3.85565,3.8747,-0.005,9.2E-6,3.8785866,0.034026059,73.379444,0.1278,1.9011522,0.007008,75.280597,0.1278,0.43104117,10.256949,0.0042278751,98.299421,0,0,1,,,,7.4602E-6,18.61684,15.043434,18.91912,0
31061666.42,,5905,3.85676,3.875,-0.005,9.4E-6,3.8811038,0.037401349,73.546294,0.1138,1.9049677,0.007015,75.451262,0.1138,0.35791022,11.175344,0.0039099652,98.559618,0,0,1,,,,6.8454E-6,20.5139,15.062967,18.949839,0
31061964.3,,5905,4.24646,4.2567,-0.005,9.3E-6,4.2744952,0.041200634,82.933291,0.1415,2.4814186,0.008086,85.414709,0.1415,0.52388575,10.533368,0.0041847883,98.573481,0,0,1,,,,8.2196E-6,22.35069,18.27131,19.401891,0
31062054.11,,5905,4.24736,4.26,-0.005,9.3E-6,4.2755479,0.041798627,82.731033,0.09116,2.4841671,0.008091,85.2152,0.09116,0.4800562,11.700451,0.0045703359,98.602508,0,0,1,,,,7.3804E-6,21.06674,18.28031,19.349808,0
31062150.45,,5905,4.24797,4.2591,-0.005,9.3E-6,4.2781757,0.045996542,83.358067,0.0531,2.4890283,0.0081,85.847096,0.0531,0.32450606,12.85278,0.0046406113,98.702573,0,0,1,,,,6.7621E-6,23.4009,18.302787,19.484489,0
31062460.97,,5905,4.63765,4.6573,-0.005,9.3E-6,4.6702862,0.051419957,92.1111,0.1079,3.1528058,0.009101,95.263906,0.1079,0.20744968,12.393716,0.0058344584,98.509503,0,0,1,,,,7.7952E-6,25.70556,21.811573,19.722796,0
31062563.34,,5905,4.63828,4.6561,-0.005,9.2E-6,4.6719956,0.052517846,91.975511,0.0813,3.1572191,0.009106,95.13273,0.0813,0.68810119,13.44822,0.0055952064,98.688317,0,0,1,,,,7.1619E-6,24.78743,21.827543,19.686558,0
31062672.34,,5905,4.63904,4.6563,-0.005,9.2E-6,4.674865,0.056726479,92.177598,0.07841,3.1631278,0.009114,95.340726,0.07841,0.55801213,14.416706,0.0056046046,98.774943,0,0,1,,,,6.6899E-6,26.89644,21.854363,19.717703,0
31062994.61,,5905,5.02844,5.0523,-0.005,9.3E-6,5.0678419,0.061951647,101.70701,0.1585,3.9211418,0.009938,105.62816,0.1585,0.074747155,14.053858,0.0071314296,98.562657,0,0,1,,,,7.6176E-6,28.83341,25.683021,20.069098,0
31063106.61,,5905,5.03029,5.0566,-0.005,9.4E-6,5.0703458,0.063464296,101.48018,0.08549,3.9278488,0.009943,105.40803,0.08549,0.98779994,15.02917,0.0069520689,98.696032,0,0,1,,,,7.0995E-6,28.10772,25.708407,20.014449,0
31063224.44,,5905,5.03062,5.055,-0.005,9.2E-6,5.0734317,0.067600628,101.48765,0.07764,3.9347537,0.009948,105.4224,0.07764,1.4502703,15.81421,0.0067248268,98.804262,0,0,1,,,,6.7411E-6,30.05834,25.739709,20.003748,0
31063552.55,,5905,5.42107,5.443,-0.005,9.3E-6,5.4663231,0.072331669,111.1521,0.1298,4.7874705,0.01085,115.93957,0.1298,0.1408038,15.198257,0.00791777,98.669124,0,0,1,,,,7.7231E-6,31.62842,29.880688,20.333979,0
